City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bredasdorp,-34.5322,20.0403,13.8,84,100,4.48,ZA,1686516186
1,son la,21.3167,103.9,21.26,97,98,0.66,VN,1686516249
2,badger,64.8,-147.5333,18.06,38,40,6.69,US,1686516249
3,arboletes,8.8505,-76.4269,29.93,75,92,3.71,CO,1686516249
4,west island,-12.1568,96.8225,25.99,73,98,10.61,CC,1686516249
5,saldanha,-33.0117,17.9442,13.03,88,100,5.83,ZA,1686516250
6,eceabat,40.1842,26.3574,20.98,60,0,3.09,TR,1686516250
7,albany,42.6001,-73.9662,27.97,43,100,1.73,US,1686516086
8,carnarvon,-24.8667,113.6333,16.11,62,0,8.31,AU,1686516250
9,ouesso,1.6136,16.0517,23.66,84,38,1.16,CG,1686516250
10,enewetak,11.3474,162.3373,27.93,81,93,7.63,MH,1686516250
11,adamstown,-25.066,-130.1015,20.31,68,10,7.65,PN,1686516184
12,waitangi,-43.9535,-176.5597,11.01,77,100,5.46,NZ,1686516251
13,cidreira,-30.1811,-50.2056,13.36,73,73,5.52,BR,1686516251
14,grytviken,-54.2811,-36.5092,-3.05,84,37,5.38,GS,1686516251
15,college,64.8569,-147.8028,18.1,35,75,6.69,US,1686516251
16,invercargill,-46.4,168.35,8.26,85,96,3.16,NZ,1686516251
17,akbarabad,29.2464,52.7793,27.79,26,0,1.65,IR,1686516251
18,tabora,-5.0167,32.8,19.88,68,20,0.0,TZ,1686516252
19,berdyansk,46.7503,36.7944,18.63,89,1,3.03,UA,1686516252
20,bilibino,68.0546,166.4372,13.25,79,100,1.92,RU,1686516252
21,port-aux-francais,-49.35,70.2167,5.38,89,100,18.93,TF,1686516252
22,la passe,45.5549,-0.8967,23.13,81,3,4.47,FR,1686516252
23,san jose del guaviare,2.5729,-72.6459,27.86,79,69,1.74,CO,1686516252
24,pacific grove,36.6177,-121.9166,19.08,76,100,5.14,US,1686516252
25,yacuiba,-22.038,-63.6797,10.85,45,100,3.28,BO,1686516253
26,bethel,41.3712,-73.414,28.47,41,0,4.12,US,1686516253
27,klyuchi,52.2667,79.1667,14.31,64,0,1.06,RU,1686516253
28,tiksi,71.6872,128.8694,-0.24,96,100,6.93,RU,1686516253
29,yuzhno-kurilsk,44.0306,145.8556,11.92,97,100,4.08,RU,1686516253
30,lamu,-2.2717,40.902,26.12,82,100,5.91,KE,1686516253
31,vilyuchinsk,52.9306,158.4028,13.15,60,1,3.14,RU,1686516253
32,keflavik,64.0049,-22.5624,8.95,76,100,8.75,IS,1686516253
33,port augusta,-32.5,137.7667,10.32,58,0,5.31,AU,1686516254
34,ribeira grande,38.5167,-28.7,20.22,77,40,7.15,PT,1686516254
35,port blair,11.6667,92.75,28.02,89,75,2.57,IN,1686516254
36,touros,-5.1989,-35.4608,24.55,90,9,4.56,BR,1686516254
37,stanley,54.868,-1.6985,18.19,84,20,2.06,GB,1686516254
38,darwin,-12.4611,130.8418,20.99,94,0,2.06,AU,1686516108
39,astrakhan,46.3497,48.0408,23.93,64,0,5.0,RU,1686516254
40,necochea,-38.5473,-58.7368,6.99,48,1,5.77,AR,1686516254
41,nasice,45.4886,18.0878,17.64,97,100,3.24,HR,1686516254
42,concordia,-31.393,-58.0209,10.99,41,0,4.47,AR,1686516255
43,remire-montjoly,4.9167,-52.2667,25.02,94,75,1.03,GF,1686516255
44,pathein,16.7833,94.7333,26.9,82,88,3.56,MM,1686516255
45,olonkinbyen,70.9221,-8.7187,1.32,88,100,6.29,SJ,1686516255
46,san juan de miraflores,-12.1629,-76.9635,24.54,68,33,4.8,PE,1686516255
47,butembo,0.15,29.2833,14.18,95,86,0.89,CD,1686516255
48,port elizabeth,-33.918,25.5701,11.84,95,0,2.57,ZA,1686516255
49,cabo san lucas,22.8909,-109.9124,34.23,35,0,3.6,MX,1686516028
50,porto novo,6.4965,2.6036,26.9,81,100,2.04,BJ,1686516256
51,kondagaon,19.6,81.6667,26.11,55,56,2.58,IN,1686516256
52,wailua homesteads,22.0669,-159.378,27.24,78,20,6.17,US,1686516256
53,perugorria,-29.3413,-58.6106,9.89,49,0,3.58,AR,1686516256
54,ibshaway,29.358,30.6814,26.95,35,1,4.41,EG,1686516256
55,ihosy,-22.4,46.1167,14.97,67,1,1.66,MG,1686516256
